mine_name,country,latitude,longitude,confidence,source
Federation,Australia,-35.461754,146.229764,medium,nominatim
Fekola,Mali,12.533073,-11.357479,high,nominatim
Fengning Zhaojin,China,,,none,none
Fengningjinlong,China,,,none,none
Fengye Mining,China,,,none,none
Fenix Gold Mine,Chile,,,none,none
Fenix,Chile,-33.570777,-70.65722,medium,nominatim
Fenn Gibb South,"Ontario, Canada",,,none,none
Fernet,"Canada, Quebec",46.08344,-75.363547,medium,nominatim
Fish,Australia,-10.421334,105.674413,medium,nominatim
Fiskeltrask,Sweden,66.202122,22.01707,medium,nominatim
Florida Canyon,United States,40.575572,-118.24529,high,nominatim
Flåt,Norway,58.604881,7.875683,medium,nominatim
Forest Reefs,Australia,-33.454273,149.086696,medium,nominatim
Fort Knox,United States,65.002342,-147.338621,high,nominatim
Fortuity 89,"Nevada, U.S.A.",,,none,none
Fosterville,Australia,-36.716755,144.500491,high,nominatim
Fosterville,"Victoria, Australia",-36.716755,144.500491,high,nominatim
Fourmile,United States,45.767959,-115.615132,high,nominatim
Fox Complex,Canada,46.515031,-80.998229,medium,nominatim
Fresnillo plc (subsidiary),Mexico,,,none,none
Fresnillo,Mexico,23.181128,-102.872907,medium,nominatim
Fruta del Norte,Ecuador,-3.775366,-78.525901,medium,nominatim
Galena Complex,USA,29.80762,-95.176746,medium,nominatim
Gansu Xinrui,China,,,none,none
