ticker,company,price_usd,price_as_of,market_cap_usd,shares_outstanding,revenue_usd,ebitda_usd,net_income_usd,total_debt_usd,cash_usd,net_debt_usd,fiscal_year,financial_source,notes
HOC,Hochschild Mining PLC,7.5574,2026-09-25,,,1182148.0,39000000.0,247402.0,318797.0,316954.0,1843.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 hochschild-2025.txt,"price quoted in GBp (pence); EBITDA figure is Adjusted EBITDA; debt: sum of debt line items: Evaluation and exploration assets 93,797 132,303 B; Borrowings 225,000 163,333; market cap not computed: shares outstanding undisclosed"
HSLV,Highlander Silver Corp.,5.3527,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 7.57 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
HSTR,Heliostar Metals Ltd.,1.6051,2026-09-25,,,91824000.0,16237000.0,12407000.0,,40623000.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 hstr-2025-fs.pdf,price 2.27 CAD converted at 0.7071 USD/CAD; EBITDA figure is operating income (EBITDA undisclosed); market cap not computed: shares outstanding undisclosed
HYMC,Hycroft Mining Holding Corporation,21.48,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 hymc-2025-10k.pdf,statement currency not identified; USD figures blank; market cap not computed: shares outstanding undisclosed
IAG,IAMGOLD Corporation,19.7,2026-09-25,,,2852800000.0,685500000.0,732300000.0,431.0,422.0,9.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 iamgold-2025-mda.txt,EBITDA figure is EBITDA; debt: sum of debt line items: Liabilities Long-term debt Notes1 (451.7) (451.1); Long-term debt equipment loan (1.0) (1.0) (1.0); Long-term debt Credit Facility (200.0) (200.0) (20; Long-term debt Notes1 (452.0) (435.8) (435.8); Long-term debt Term Loan2 (400.8) (449.2) (449.2); Long-term debt equipment loan (2.1) (2.3) (2.3); market cap not computed: shares outstanding undisclosed
IAUX,i-80 Gold Corp.,1.74,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),report not obtained; market cap not computed: shares outstanding undisclosed
IDR,"Idaho Strategic Resources, Inc.",30.39,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 idr-2025-10k.pdf,market cap not computed: shares outstanding undisclosed
IPT,IMPACT Silver Corp.,0.198,2026-09-25,,,,,,,2025.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 ipt.txt,price 0.28 CAD converted at 0.7071 USD/CAD; market cap not computed: shares outstanding undisclosed
ITRG,Integra Resources Corp.,2.75,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 integra-2025-annual.txt,no financial statements found; market cap not computed: shares outstanding undisclosed
JAG,Jaguar Mining Inc.,5.3457,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 jaguar-aif-2025.pdf,price 7.56 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
KCN,Kingsgate Consolidated Limited,3.5426,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24),price 5.04 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
